nome_organizacao,descricao_organizacao,categoria_organizacao,segmento_atuacao,tecnologias_disruptivas,fase_negocio,papel_no_ecossistema,M1_Agro,M2_Saude,M3_Infra_Mobilidade,M4_Transformacao_Digital,M5_Bioeconomia_Energia,M6_Defesa_Soberania,missoes_finais,cadastro_aprovado,autorizacao_divulgacao,cidade_sede,uf_sede,logo_url,site_organizacao,email_contato,fase_investimento_busca,incentivos_fiscais_municipio,orgao_responsavel_cti,tipo_organizacao,contato_divulgacao_cientifica,possui_nit,areas_expertise,tese_investimento,num_startups_investidas,programas_desenvolvimento,modelo_negocio,segmentacao_clientes,numero_funcionarios,fase_investimento_captada,busca_investimento,linkedin_url,preferencia_segmento,beneficios_programa,investimento_medio_startup,exige_equity
W Boarding,"A W Boarding tem por objetivo dar ênfase na promoção de destinos poucos explorados e PMEs desconhecidas e/ou pouco divulgadas resultando em desenvolvimento sócio-econômico local. Além disso, visa aumentar a oportunidade de vendas (empresas) e poder de negociação (viajantes) através de sua proposta de matching demanda x oferta.",Startup,Turismo,Big Data,"Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital,Sim,Sim,Belo Horizonte,MG,https://i.postimg.cc/j2HfrMbG/image.png,https://www.wboarding.com,sol@wboarding.com,Seed (Investimento total de 400 mil a 2 milhões de reais), , , , , , , , ,Nenhum,Assinatura (Receitas recorrentes através de compras repetidas),"B2B (empresa para empresa), B2C (empresa para consumidor), B2B2C (empresa para empresa para o consumidor - quando há primeiramente uma relação de venda entre empresas, para só depois atingir o cliente final)",2-10 funcionários,Recurso próprio ou bootstrap (Investimento total de até 100 mil reais),Sim,https://www.linkedin.com/company/w-boarding/?viewAsMember=true,,,, 
AppSafeHouse,"Unificar todas os participantes que prestam serviços e moram em condomínios em um único ambiente digital.

Criar softwares que auxiliam na convivência e na administração de condomínios",Startup,"Cidades inteligentes, Finanças, Gestão de negócios, Segurança, Tecnologia da informação",Big Data,"Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,0,0,1,1,0,0,"M3 Infra Mobilidade, M4 Transformacao Digital",Sim,Sim,Belo Horizonte,MG,https://i.postimg.cc/HkCJJwxT/C-pia-de-LOGO-VETORIZADA-RGB-1-3.png,https://safehouseapp.com.br/,contato@appsafehouse.com.br,Seed (Investimento total de 400 mil a 2 milhões de reais), , , , , , , , ,"SEED, PUC-TEC MG","SaaS (Disponibiliza softwares e soluções de tecnologia como um serviço, por meio de soluções hospodadas em nuvem)","B2B2C (empresa para empresa para o consumidor - quando há primeiramente uma relação de venda entre empresas, para só depois atingir o cliente final)",2-10 funcionários,Pré-Seed (Investimento total de 100 mil a 400 mil reais),Sim,,,,, 
Boomer,"Somos uma empresa empoderada por dados.



Nascemos da necessidade de empresários se adequarem a nova era digital e fazer negócios de forma rápida, confiável e que tenha o melhor custo benefício. O nosso objetivo principal é conectar marcas e empresas, utilizando da tecnologia e análise de dados para impactar o resultado de vendas das empresas e gerar conexões com agências de marketing pautado no modelo matchmaking. Somos uma empresa formada e composta por engenheiros, onde desenvolvemos um método próprio e validado, que faz com que o processo de conectar marcas e empresas seja de forma otimizada e personalidade para a realidade e anseios de ambas.

Atualmente somos uma martech que:

- Imergimos dentro da operação das empresas entendendo a operação no detalhe para que haja maior assertividade no diagnóstico de conexão.

- Entendemos a cultura do nosso cliente, para encontrar agências que tenham fit

- Temos metodologia de testes e validações de hipóteses contínuas para otimizar as conexões

- Utilizamos da tecnologia e análise de dados para tomada de decisão

- Somos comprometidos fielmente com os resultados dos nossos clientes",Startup,"Alimentos, Publicidade, Rede social, Tecnologia da informação, Varejo",Big Data,Ideação (Fase de concepção da ideia até consolidação do Mínimo Produto Viável - MVP para um nicho de mercado específico),Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital,Sim,Sim,Uberlândia,MG,https://i.postimg.cc/Qd45Zk2G/Screenshot-2022-10-24-at-16-56-49.png,http://www.gestaoboomer.com,pedro.alves@gestaoboomer.com,Pré-Seed (Investimento total de 100 mil a 400 mil reais), , , , , , , , ,Nenhum,"Marketplace (Atua como intermediário na venda de bem ou serviço entre vendedores e consumidores, geralmente cobrando taxa ou porcentagem do valor total transacionado)","B2B (empresa para empresa), B2C (empresa para consumidor)",2-10 funcionários,Recurso próprio ou bootstrap (Investimento total de até 100 mil reais),Sim,https://www.linkedin.com/company/boomerbr/,,,, 
Safe Life Saúde,"Somos uma healthtech com multiplataforma para as pessoas reunirem, em um só local, seus históricos completos de saúde.
Sigilo, confiabilidade e proteção dos dados com segurança da informação na nuvem.
Não existia no mercado uma multiplataforma que reúna, integralmente, os dados sobre a saúde das pessoas, até surgir a SAFELIFE.
A SafeLife visa compartilhar, com segurança e privacidade, os dados mais adequados a cada um dos envolvidos, com anuência e posse do paciente, transformando dados brutos e esparsos em inteligência integrada e online para customizar a experiência das pessoas.",Startup,Saúde,Nenhuma,Ideação (Fase de concepção da ideia até consolidação do Mínimo Produto Viável - MVP para um nicho de mercado específico),Executores Diretos das Missões,0,1,0,0,0,0,M2 Saude,Sim,Sim,Belo Horizonte,MG,https://i.postimg.cc/zBgw6Phw/image.png,https://safelifesaude.com.br/,anderson.duarte@safelifesaude.com.br,Pré-Seed (Investimento total de 100 mil a 400 mil reais), , , , , , , , ,Nenhum,"SaaS (Disponibiliza softwares e soluções de tecnologia como um serviço, por meio de soluções hospodadas em nuvem)",B2C (empresa para consumidor),2-10 funcionários,Recurso próprio ou bootstrap (Investimento total de até 100 mil reais),Sim,https://www.linkedin.com/company/safelifesaude,,,, 
UMANI SEGUROS,"Desenvolvemos uma plataforma que permite que empresas e corretores de seguros analisem, gerenciem e emitam apólices de Seguro Garantia em poucos minutos. Equipe altamente capacitada (3 pessoas), responsável por mais de R$ 40MM emitidos em 2022. Através da plataforma, esperamos emitir R$ 10MM adicionais no ano de 2023.",Startup,"Finanças, Seguros",OCR e Machine Learning (Em breve),"Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital,Sim,Sim,Belo Horizonte,MG,https://i.postimg.cc/7YMp4Tdc/LOGO-FUNDO-BRANCO.png,http://www.umaniseguros.com.br,henrique@umaniseguros.com.br, , , , , , , , , ,VISA - Programa de Aceleração,Transacional (permite uma transação financeira em nome de um cliente e cobra uma taxa ou uma porcentagem do valor transacionado),B2B (empresa para empresa),2-10 funcionários,Recurso próprio ou bootstrap (Investimento total de até 100 mil reais),Não,https://www.linkedin.com/company/34227773/admin/,,,, 
Update Analytics,"Objetivo: Transformar empreendimentos e seus ambientes produtivos através da análise e organização de dados. Atuamos na indústria da inovação e infraestrutura, cidades e comunidades sustentáveis, consumo e produção sustentáveis. Acreditamos que a empresa orientada por dados, ao utilizar sistematicamente dados e inteligência de negócios tem a tomada de decisão assertiva e precisa!
Resultados: Criamos um ambiente inovador empresarial dentro do âmbito acadêmico, conseguimos assim entender a demanda do mercado ainda na graduação. Com isso capturar talentos antes de serem inseridos no mercado de trabalho.
Desenvolvemos 2 sistemas que visam a busca e captação de dados para tomadas de decisões nos setores de frotas e varejo. Também conquistamos uma parceria com empresa de tecnologia da informação, para produção de códigos.",Startup,"Agronegócio, Automóveis, Cidades inteligentes, Educação, Gestão de negócios, Indústria 4.0, Logística, Mineração, Mobilidade, Segurança, Sustentabilidade, Tecnologia da informação, Varejo","Big Data, Deep Learning, IOT (Internet das Coisas), Machine Learning",Ideação (Fase de concepção da ideia até consolidação do Mínimo Produto Viável - MVP para um nicho de mercado específico),Executores Diretos das Missões,1,0,0,1,1,0,"M1 Agro, M4 Transformacao Digital, M5 Bioeconomia Energia",Sim,Sim,Mariana,MG,https://i.postimg.cc/wv76TCVh/update.jpg,https://updatedata.com.br,thiagomundoo@gmail.com,Pré-Seed (Investimento total de 100 mil a 400 mil reais), , , , , , , , ,Mariana Labs - Wylinka,"SaaS (Disponibiliza softwares e soluções de tecnologia como um serviço, por meio de soluções hospodadas em nuvem)","B2B (empresa para empresa), B2B2C (empresa para empresa para o consumidor - quando há primeiramente uma relação de venda entre empresas, para só depois atingir o cliente final)",2-10 funcionários,Recurso próprio ou bootstrap (Investimento total de até 100 mil reais),Sim,https://www.linkedin.com/company/updatedata/,,,, 
Regain Tecnologa da Informação Ltda,"A Nossa proposta é criar um App para que enfermeiros e cuidadores de idosos possam disponibilizar suas habilidades para as famílias, ou idosos que os queiram contratar por algumas horas, ou por períodos curtos, quando não há disponibilidade de alguém da família para cuidar.",Startup,"Negócios sociais, Saúde",Nenhuma,Ideação (Fase de concepção da ideia até consolidação do Mínimo Produto Viável - MVP para um nicho de mercado específico),Executores Diretos das Missões,0,1,0,0,0,0,M2 Saude,Sim,Sim,Belo Horizonte,MG,https://i.postimg.cc/4yY6h6MF/C-pia-de-Logo-Regain.png,https://www.regain.store,regain2022@gmail.com,Pré-Seed (Investimento total de 100 mil a 400 mil reais), , , , , , , , ,Nenhum,"Baseado em uso (precificação do serviço é baseada no uso de um cliente durante um determinado período, denominado pelo que é o serviço da empresa (ex:, valor por uso de API, etc))",B2C (empresa para consumidor),2-10 funcionários,Recurso próprio ou bootstrap (Investimento total de até 100 mil reais),Sim,https://www.linkedin.com/in/regain-ti-985946254?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BpApBmhb4R2et5WzGOashmg%3D%3D,,,, 
VD Tech Futuristic,"A VD Tech entende que pessoas são importantes. E temos total certeza que os gastos com computadores podem ser reduzidos de 30% a 50% com análise preditiva, usando algoritmos de machine learning podemos prever quando um computador apresentará algum problema, bem como causas, agindo com antecedência. E nós queremos apresentar esse projeto a estado de Minas Gerais, pois fazer parte de uma transformação positiva da tecnologia que impacte positivamente a produtividade de pessoas, e a economia nos cofres públicos é fascinante.",Startup,"Cidades inteligentes, Finanças, Gestão de negócios, Gestão de resíduos, Gestão de riscos, Logística, Reciclagem, Saúde, Tecnologia da informação","Big Data, Deep Learning, Machine Learning","Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,0,0,1,1,0,0,"M3 Infra Mobilidade, M4 Transformacao Digital",Sim,Sim,Belo Horizonte,MG,https://i.postimg.cc/tTVj91Hz/VD-TECH.png,http://instagram.com/vdtechfuturistic,luizfgvd@outlook.com,Seed (Investimento total de 400 mil a 2 milhões de reais), , , , , , , , ,"Nenhum, SEED","Soluções para gastos excessivos com Hardware, bem como serviço de manutenção preditiva","B2B (empresa para empresa), B2C (empresa para consumidor), B2B2C (empresa para empresa para o consumidor - quando há primeiramente uma relação de venda entre empresas, para só depois atingir o cliente final), B2G (empresa para a administração pública)",0-1 funcionário,Recurso próprio ou bootstrap (Investimento total de até 100 mil reais),Sim,https://www.linkedin.com/company/vd-tech-futuristic/,,,, 
GlobalCad,"Desenvolvimento de sistemas computacionais sob medida para empresas de grande porte atuantes em diversos segmentos, como mineração, construção, distribuição de energia, militar, saúde, educação, dentre outros.",Startup,"Agronegócio, Alimentos, Construção, Energia, Governo, Indústria 4.0, Mineração, Mobilidade, Saúde, Segurança, Sustentabilidade, Tecnologia da informação","Blockchain, Deep Learning, Machine Learning","Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,1,0,1,1,1,0,"M1 Agro, M3 Infra Mobilidade, M4 Transformacao Digital, M5 Bioeconomia Energia",Sim,Sim,Belo Horizonte,MG,https://i.postimg.cc/J4jx1Qx7/image.png,https://www.globalcad.com.br,francisco.macedo@globalcad.com.br,Series A (Investimento total de 2 milhões a 7 milhões de reais), , , , , , , , ,Nenhum,"SaaS (Disponibiliza softwares e soluções de tecnologia como um serviço, por meio de soluções hospodadas em nuvem)","B2B (empresa para empresa), B2G (empresa para a administração pública)",11-50 funcionários,Recurso próprio ou bootstrap (Investimento total de até 100 mil reais),Sim,https://br.linkedin.com/company/globalcad-br,,,, 
Kcollector,"O KCollector transforma seu celular em um coletor para acompanhamento de processos, balanços e conferência de dados, melhorando a automação do seu negócio.
Com ele, você otimiza processos e aumenta a produtividade do seu negócio, reduzindo custos com perdas de produto, treinamentos, aquisição e aluguel de equipamentos para coleta de dados. estamos ha mais de 5 anos no mercado atendendo de pequenas empresas ate grandes e mineradouras.",Startup,"Gestão de negócios, Indústria 4.0, Tecnologia da informação, Varejo, Vendas",Big Data,"Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital,Sim,Sim,Contagem,MG,https://i.postimg.cc/wjkCLvLC/logo1024-500ok.png,http://www.kcollector.com.br,antonio@kcollector.com,Pré-Seed (Investimento total de 100 mil a 400 mil reais), , , , , , , , ,"FIEMG Lab, InovAtiva",Assinatura (Receitas recorrentes através de compras repetidas),B2B (empresa para empresa),0-1 funcionário,Recurso próprio ou bootstrap (Investimento total de até 100 mil reais),Sim,https://www.linkedin.com/company/kcollector/?viewAsMember=true,,,, 
Sr. SMS,"Contribuímos na redução de acidentes, capacitação profissional, acesso a informação e recolocação ao mercado de trabalho!

Aplicativo Exclusivo para Técnicos e Engenheiros de Segurança do Trabalho. 

Já pensou em estudar e se atualizar sobre a área da Segurança do Trabalho, sem sair de casa e de graça?

Pois, bem, o nosso App Sr. SMS é o meio certo para isso, o mais completo e gratuito para auxiliar em seu Trabalho, Estudo e Carreira.

O aplicativo oferece os seguintes recursos de forma simples e clara:
– Palestra com Especialista Mensal com o tema mais votado da semana
– Enquete para escolher a palestra com Especialista
– Quiz de provas dos concursos mais concorridos para você estudar
– DDS Diário para você aplicar na empresa que trabalha
– Cursos gratuitos e pagos.
– Normas regulamentadoras (NRs) atualizadas off-line com serviço de mensagens de alerta para deixar vocês atualizados sempre que tiver alterações.
– Dicionario e Termos técnicos
– Consulta de CA;
– Notícias do mercado;
– Centenas de Dicas de Segurança EPI, EPC, CAT, SESMT, CIPA, PCMAT, PCMSO, PPRA, PPP, PT, CLT, SIPAT, PGR entre outros.
– Vagas de emprego
– Livros Gratuitos Fundacentro
– Observatório SST
– Calculadora eSocial
-Sistema eSocial TST online


Atualmente contamos com mais de 150 mil downloads no total, juntanto App Store (iPhone) e Play Store (Android); No instagram contamos com mais de 40 mil seguidores",Startup,"Educação, Tecnologia da informação",Nenhuma,Consolidado no mercado (Startup é um dos principais líderes no mercado em que atua e já construiu barreiras à entrada relevantes),Executores Diretos das Missões,0,0,0,1,0,1,"M4 Transformacao Digital, M6 Defesa Soberania",Sim,Sim,Belo Horizonte,MG,https://i.postimg.cc/wv2sZpJH/logo-branca-adesivo.png,https://checklistnormaregulamentadora.com/,luizeugeniopetro@hotmail.com,Pré-Seed (Investimento total de 100 mil a 400 mil reais), , , , , , , , ,Acelera MGTI,Assinatura (Receitas recorrentes através de compras repetidas),B2C (empresa para consumidor),0-1 funcionário,Recurso próprio ou bootstrap (Investimento total de até 100 mil reais),Sim,https://www.linkedin.com/company/11348804/,,,, 
Voor Soluções de Eventos e Ingressos LTDA,"Ecommerce e Marketplace de Ingressos. 
Soluções tecnológicas para o setor de entretenimento baseada em dados com foco na experiência dos usuários.
Fomos finalistas no MIT Global Startups Labs Brazil 2018.
Recebemos investimento anjo em 2020.",Startup,"Entretenimento, Esporte, Finanças, Jogos, Mobilidade, Tecnologia da informação, Turismo","Nenhuma, Big Data, Blockchain, nosso roadpmap inclui bigdata e blockchain","Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital,Sim,Sim,Belo Horizonte,MG,https://i.postimg.cc/PJjPD7Hn/logo-3.png,https://bevoor.com,danieldipaul@gmail.com,Seed (Investimento total de 400 mil a 2 milhões de reais), , , , , , , , ,Nenhum,"Marketplace (Atua como intermediário na venda de bem ou serviço entre vendedores e consumidores, geralmente cobrando taxa ou porcentagem do valor total transacionado)","B2B2C (empresa para empresa para o consumidor - quando há primeiramente uma relação de venda entre empresas, para só depois atingir o cliente final)",2-10 funcionários,Pré-Seed (Investimento total de 100 mil a 400 mil reais),Sim,https://www.linkedin.com/company/voor/,,,, 
Arnia,"A Arnia é uma escola de tecnologia com o método de educação de impacto, onde os alunos serão ensinados em um regime de imersão e focado e são formados em menos de 12 meses para entrarem no mercado, independente da formação pregressa.
Já treinamos centenas de profissionais durante esta jornada, profissionais hoje que trabalham em empresas de marca conhecida como a Amazon, Sodexo, BNDES, Banco Central, B2W, e muitas outras empresas.",Empresa de Base Tecnológica (EBT),"Educação, Tecnologia da informação",Nenhuma,"Tração (Início da consolidação e repetição de processos para áreas da EBT, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital,Sim,Sim,Belo Horizonte,MG,https://i.postimg.cc/dVD2mYPD/Logo-Arnia.png,https://arnia.com.br,marcio@arnia.com.br,Seed (Investimento total de 400 mil a 2 milhões de reais), , , , , , , , ,Nenhum,Assinatura (Receitas recorrentes através de compras repetidas),"B2B (empresa para empresa), B2C (empresa para consumidor)",2-10 funcionários,Pré-Seed (Investimento total de 100 mil a 400 mil reais),Sim,https://www.linkedin.com/school/arniadev/,,,, 
Asher,"A Asher tem como proposta revolucionar o mercado de varejo online através de tecnologias da web 4.0. Nosso objetivo é proporcionar uma experiência de compra inteligente, assertiva e descentralizada. Assim, nós resolvemos um grande problema do mercado, tanto do lado das empresas, que tem gastos altos com logística devido ao retorno de produtos e baixa fidelidade de clientes, e do lado dos consumidores, que não conseguem testar um produto antes de efetuar a compra. No momento a empresa está em fase de testagem, iniciando em uma aceleradora e levantou R$20.000 de investimento. Já temos uma fábrica, marketplace e loja própria que está com o produto em mãos para a implementação no modelo de growth hacking.",Startup,Indústria 4.0,Realidade aumentada,Ideação (Fase de concepção da ideia até consolidação do Mínimo Produto Viável - MVP para um nicho de mercado específico),Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital,Sim,Sim,Araxá,MG,https://i.postimg.cc/TYbpkm19/logo-azul.png,http://asherdigitals.com,luizfilipemarcondes@gmail.com,Pré-Seed (Investimento total de 100 mil a 400 mil reais), , , , , , , , ,Nenhum,"SaaS (Disponibiliza softwares e soluções de tecnologia como um serviço, por meio de soluções hospodadas em nuvem)",B2B (empresa para empresa),2-10 funcionários,Recurso próprio ou bootstrap (Investimento total de até 100 mil reais),Sim,https://www.linkedin.com/company/asher3d/,,,, 
Nanoview Nanotecnologia,"Empresa brasileira especializada na comercialização de nanomateriais avançados, fundada em 2021 como Spin off do Centro de Tecnologia em Nanomaterias e Grafeno da Universidade Federal de Minas Gerais (CTNano/UFMG). A Nanoview também tem como foco o desenvolvimento de produtos e inovação, apoiando-se internamente na vasta experiência adquirida por sua equipe na execução de projetos de P&D e externamente na sua ampla rede de colaborações acadêmicas e industriais. Apoiamos nossos clientes com Expertise desde a prototipagem até o aumento de escala e a comercialização.",Startup,"Agronegócio, Cidades inteligentes, Construção, Indústria 4.0, Mineração","Big Data, Impressão 3D, IOT (Internet das Coisas), Machine Learning, Nanotecnologia",Ideação (Fase de concepção da ideia até consolidação do Mínimo Produto Viável - MVP para um nicho de mercado específico),Executores Diretos das Missões,1,0,1,1,1,0,"M1 Agro, M3 Infra Mobilidade, M4 Transformacao Digital, M5 Bioeconomia Energia",Sim,Sim,Belo Horizonte,MG,https://i.postimg.cc/LsgyRBKQ/Logo-Atualizada-Nanoview-V2.jpg,http://www.nanoviewnanotecnologia.com,raissa.guerra@nanoviewnanotecnologia.com,Pré-Seed (Investimento total de 100 mil a 400 mil reais), , , , , , , , ,Nenhum,Hardware (vende dispositivos físicos para consumidores ou empresas),"B2B (empresa para empresa), B2C (empresa para consumidor), B2B2C (empresa para empresa para o consumidor - quando há primeiramente uma relação de venda entre empresas, para só depois atingir o cliente final)",0-1 funcionário,Pré-Seed (Investimento total de 100 mil a 400 mil reais),Sim,https://www.linkedin.com/company/nanoviewnanotecnologia/?viewAsMember=true,,,, 
Climacta Soluções Digitais,"A Climacta é uma empresa que busca através dos seus serviços , relacionados a fitopatologia e agro meteorologia, viabilizar a aplicação de práticas agrícolas sustentáveis nos controles de doencas fúngicas que afetam as lavouras de soja , batata , tomate , trigo , maçã e algumas outras culturas
Os principais resultados da empresa são na cultura de soja , batata e tomate , onde produtores rurais que se adequaram e utilizaram de parâmetros e métricas que o sistema da Climacta gerou, racionalizaram o uso de fungicidas em suas lavouras, em casos com até redução do uso em mais de 30% (comparados a áreas que não utilizaram do serviço)",Startup,"Agronegócio, Ciências biológicas, Saúde, Sustentabilidade, Tecnologia da informação","Big Data, IOT (Internet das Coisas)","Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,1,0,0,0,0,0,M1 Agro,Sim,Sim,Araxá,MG,https://i.postimg.cc/QMbNsZJ9/Logo-Vertical-Slogan-1.jpg,http://www.climacta.agr.br,vitor.balbi1812@gmail.com,Pré-Seed (Investimento total de 100 mil a 400 mil reais), , , , , , , , ,SEED,"Baseado em uso (precificação do serviço é baseada no uso de um cliente durante um determinado período, denominado pelo que é o serviço da empresa (ex:, valor por uso de API, etc))","B2B2C (empresa para empresa para o consumidor - quando há primeiramente uma relação de venda entre empresas, para só depois atingir o cliente final)",0-1 funcionário,Recurso próprio ou bootstrap (Investimento total de até 100 mil reais),Sim,www.climacta.agr.br,,,, 
hhrobots,fabrica de assistentes digitais de saúde,Startup,"Cidades inteligentes, Saúde","Machine Learning, conversacional",Ideação (Fase de concepção da ideia até consolidação do Mínimo Produto Viável - MVP para um nicho de mercado específico),Executores Diretos das Missões,0,1,1,0,0,0,"M2 Saude, M3 Infra Mobilidade",Sim,Sim,Lagoa Santa,MG,https://i.postimg.cc/brvJYn14/hhrobots.png,http://hhrobots.editoraviva.art.br,guilherme.ribeiro.camara@gmail.com, , , , , , , , , ,Nenhum,"SaaS (Disponibiliza softwares e soluções de tecnologia como um serviço, por meio de soluções hospodadas em nuvem)","B2B (empresa para empresa), B2G (empresa para a administração pública)",0-1 funcionário,Recurso próprio ou bootstrap (Investimento total de até 100 mil reais),Não,https://www.linkedin.com/company/12987691,,,, 
Valor Crucial Treinamentos,"A Valor Crucial Treinamentos fornece treinamento online para atendimento das Normas Regulamentadoras em Segurança do trabalho através de vídeo em animação divertidos. Diferente dos treinamentos em vídeo filmado os vídeos em animação proporcionam facilidade no aproveitamento de conteúdo pré-existente, flexibilidade durante criação e possibilidades de adequação e atualizações futuras.

A Valor Crucial atende o Banco Itaú Unibanco em seus treinamentos de CIPA desde o início da pandemia e continua montando novas turmas mesmo com o fim das restrições devido a ótima avaliação dos alunos.

A Valor Crucial esta desenvolvendo em parceria com a Erplan curso em Realidade Virtual.",Startup,Educação,Realidade Virtual,"Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital,Sim,Sim,Belo Horizonte,MG,https://i.postimg.cc/2yMnws2N/image.png,https://valorcrucial.com.br/,eduardo@valorcrucial.com.br,Pré-Seed (Investimento total de 100 mil a 400 mil reais), , , , , , , , ,Nenhum,"Baseado em uso (precificação do serviço é baseada no uso de um cliente durante um determinado período, denominado pelo que é o serviço da empresa (ex:, valor por uso de API, etc))","B2B (empresa para empresa), B2B2C (empresa para empresa para o consumidor - quando há primeiramente uma relação de venda entre empresas, para só depois atingir o cliente final)",0-1 funcionário,Recurso próprio ou bootstrap (Investimento total de até 100 mil reais),Sim,https://www.linkedin.com/company/valor-crucial,,,, 
Queslo,"Startup de base tecnológica que desenvolve soluções WEB e mobile para gestão pública, escolas e em fitness. Modelo repetível e escalável do tipo ""Software as a Service"" - SaaS, com serviço na nuvem B2B, oferecendo serviços para outras empresas do ramo fitness e órgãos públicos.",Startup,"Cidades inteligentes, Gestão de negócios, Governo",Nenhuma,"Escala (Nesta fase a startup possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)",Executores Diretos das Missões,0,0,1,1,0,0,"M3 Infra Mobilidade, M4 Transformacao Digital",Sim,Sim,Uberlândia,MG,https://i.postimg.cc/Sx8fZxBT/image.png,https://www.queslo.com.br,dhenrique.souza@gmail.com,Pré-Seed (Investimento total de 100 mil a 400 mil reais), , , , , , , , ,Nenhum,"SaaS (Disponibiliza softwares e soluções de tecnologia como um serviço, por meio de soluções hospodadas em nuvem)",B2B (empresa para empresa),0-1 funcionário,Recurso próprio ou bootstrap (Investimento total de até 100 mil reais),Sim,https://www.linkedin.com/company/29012837/,,,, 
EcoCash Gestão e Soluções Ambientais,"A dinâmica de funcionamento da plataforma reside na segregação de resíduos pelos consumidores conscientes, que através de seu acesso encontram captadores de resíduos disponíveis classificados conforme material captado, distância, potencial de gratificação e disponibilidade de realização de coleta. Sendo assim, o consumidor pode escolher a qual captador dará o seu resíduo segregado, tendo confiança que ele terá a devida destinação. Em gratificação ao reciclável entregue, os captadores de resíduos emitem “créditos” na plataforma ao consumidor, este poderá acumulá-los e trocá-los por produtos/serviços nas empresas/instituições/poder público parceiros. Os parceiros recebem da Ecocash o reembolso dos créditos resgatados em seus produtos/serviços e podem participar ativamente na precificação destes créditos, podendo subsidiar parte, ou não, dos valores resgatados.",Startup,"Cidades inteligentes, Gestão de resíduos, Logística, Negócios sociais, Sustentabilidade, Tecnologia da informação, Vendas","Big Data, Blockchain","Escala (Nesta fase a startup possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)",Executores Diretos das Missões,0,0,1,0,1,0,"M3 Infra Mobilidade, M5 Bioeconomia Energia",Sim,Sim,Uberlândia,MG,https://i.postimg.cc/W4jTvfCf/simbolo-2.jpg,https://ecocash.com.br/,ecocash.br1@gmail.com,Seed (Investimento total de 400 mil a 2 milhões de reais), , , , , , , , ,"InovAtiva, Centelha - MG",Transacional (permite uma transação financeira em nome de um cliente e cobra uma taxa ou uma porcentagem do valor transacionado),"B2B2C (empresa para empresa para o consumidor - quando há primeiramente uma relação de venda entre empresas, para só depois atingir o cliente final), B2G (empresa para a administração pública)",2-10 funcionários,Seed (Investimento total de 400 mil a 2 milhões de reais),Sim,https://www.linkedin.com/company/ecocash-brasil/,,,, 
Iasmin Mata,"Gestão de redes sociais, com cerca de 15 clientes ao longo de sua trajetória, sendo todos obtidos por meio de indicações, evidenciando o bom serviço prestado e a capacidade da organização de expandir seu modelo de negócio.",Startup,"Publicidade, Rede social",Nenhuma,"Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital,Sim,Sim,Belo Horizonte,MG,https://i.postimg.cc/PrJ6Mhf9/LOGO-PRINCIPAL-COM-FUNDO.png,https://www.instagram.com/iasminmata.rp/,iasminmatarp@gmail.com,Pré-Seed (Investimento total de 100 mil a 400 mil reais), , , , , , , , ,Nenhum,"Baseado em uso (precificação do serviço é baseada no uso de um cliente durante um determinado período, denominado pelo que é o serviço da empresa (ex:, valor por uso de API, etc))",B2B (empresa para empresa),2-10 funcionários,Recurso próprio ou bootstrap (Investimento total de até 100 mil reais),Sim,https://www.linkedin.com/in/iasminmata/,,,, 
