nome_organizacao,descricao_organizacao,categoria_organizacao,segmento_atuacao,tecnologias_disruptivas,fase_negocio,papel_no_ecossistema,M1_Agro,M2_Saude,M3_Infra_Mobilidade,M4_Transformacao_Digital,M5_Bioeconomia_Energia,M6_Defesa_Soberania,missoes_previstas
Destilaria Lassaleti,"Ampliação de capacidade produtiva com fábrica sustentável e automatização de processos, focando tambem em lancamento de novos produtos. Fomos eleito o melhor gin do brasil e medalha de ouro em bruxelas. ",Startup,Alimentos,Nenhuma,"Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,1,0,0,0,1,0,"M1 Agro, M5 Bioeconomia Energia"
Iscuta Educação e Tecnologia,"A Iscuta está em fase embrionária. Plataforma de professores de música onde professores fazem seu perfil, podem divulgar seus links e alunos podem buscar professores, seja por região, preço ou qualificação. Permite contratar para aulas avulsas ou cursos.  ",Startup,Educação,Machine Learning,Ideação (Fase de concepção da ideia até consolidação do Mínimo Produto Viável - MVP para um nicho de mercado específico),Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
HackTown SRS,"Um festival feito para impactar positivamente a vida das pessoas, de forma transformadora e definitiva, através do compartilhamento de experiências e informações.",Startup,"Cidades inteligentes, Educação, Entretenimento, Negócios sociais, Sustentabilidade, Tecnologia da informação, Turismo","Big Data, Blockchain, Deep Learning, Impressão 3D, IOT (Internet das Coisas), Machine Learning, Nanotecnologia, Realidade aumentada",Consolidado no mercado (Startup é um dos principais líderes no mercado em que atua e já construiu barreiras à entrada relevantes),Executores Diretos das Missões,0,0,1,1,1,0,"M3 Infra Mobilidade, M4 Transformacao Digital, M5 Bioeconomia Energia"
Meros Auto Parts,"Nós desenvolvemos uma solução que conecta os proprietários de veículos, as
oficinas mecânica e os fornecedores de peças em uma plataforma só.

Para os proprietários de veículos a gente oferece uma maneira muito mais fácil de encontrar oficinas mecânicas mais bem avaliadas e especializadas de acordo com a sua necessidade.
Para as oficinas mecânicas a Meros vai atrair mais clientes, simplificar a compra de peças ajudar a realizar o melhor diagnóstico de melhor preço e melhor logística.
Os fornecedores de peças também se beneficiam porque vão receber mais pedidos de compras ao mesmo tempo e não vão precisar de mais de um atendente, então eles vão poder se concentrar em entregas mais eficientes.",Startup,"Automóveis, Logística, Varejo, Vendas","Big Data, Machine Learning, IA ","Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
Ensinio Tecnologia,"Sobre a Ensinio

Se precisa ensinar e/ou vender online, parabéns, você está no local certo! Com a Ensinio, você pode tem a sua própria escola online 100% white label com rede social, clube de assinaturas, e-commerce e sistema EAD completo.  Além disso, a Ensinio também possui os módulos de Gamificação e Inteligência Artificial, o que facilita ainda mais a gestão da plataforma.

Facilitamos o setup, a gestão, os pagamentos e a promoção da sua plataforma por qualquer dispositivo, e te ajudamos a empoderar sua marca, adquirir novos clientes, aumentar seu faturamento e expandir seu negócio. Nosso produto all-in-one oferece recursos avançados para você ter uma comunidade, uma rede social, dentro da sua própria plataforma para conseguir engajar com os seus alunos e explodir seu faturamento.

Nossa tecnologia é 100% white label, então a plataforma tem a sua logomarca, as suas cores, o seu design e o seu próprio domínio. Nós trabalhamos nos bastidores pra você brilhar no palco e empoderar sua própria marca. É como se tivesse um time grande de programadores, designers e gerentes de produto para construir uma solução customizada pra você.",Startup,"Educação, Governo, Recursos Humanos, Rede social, Tecnologia da informação, Vendas","Big Data, Inteligência Artificial","Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
Domyni,A Domyni auxilia dentistas e clínicas a encontrar um produtos e serviços com custos mais inteligentes em uma única plataforma de negócios que conecta todos os elos do ecossistema e um só lugar,Startup,Saúde,Big Data,"Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,0,1,0,0,0,0,M2 Saude
Sacratec,Objetivo sera melhor sistema de pagamento em criptografia atraves de pontos de venda integrados.,Startup,Tecnologia da informação,"Big Data, Blockchain, IOT (Internet das Coisas)",Ideação (Fase de concepção da ideia até consolidação do Mínimo Produto Viável - MVP para um nicho de mercado específico),Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
Global Braim ,"Empresa especializada para a prestação de serviços em tecnologia na 
área de saúde, voltada para soluções integradoras de inteligência artificial em: Telemedicina, 
Gestão, Rastreabilidade e controle, todos vinculados ao serviço de TFD - Tratamento Fora de 
Domicílio, e Envio do faturamento ao SIA/SUS. 
SERVIÇOS: 
a) Controle de faturamento de custos do serviço de TFD - Tratamento Fora de Domicílio; 
b) Sistema de Gestão TFD da GLOBAL BRAIN foi desenvolvido para otimizar, monitorar e 
armazenar os dados dos pacientes dentro das secretarias de saúde. 
c) A automação da plataforma permite mais organização e segurança, além de proporcionar 
atendimento rápido e adequado para cada caso. 
d) Todas as viagens são cadastradas na plataforma onde são escolhidos o veículo, o 
motorista, o horário e o local de embarque. Toda a informação é enviada ao paciente por 
WhatsApp, SMS, ou ligação telefônica robotizada. 
e) O gestor de saúde terá rastreabilidade de sua frota em tempo real de qualquer lugar com 
acesso à internet, através de Dashboard, por meio de informações e controle do custo 
médio de combustível/mês, quilômetros rodados, número de pacientes transportados e 
quantidade de diárias gastas por motorista. (Esses dados podem ser consultados de 
forma diária ou mensal.) 
f) Por meio do Sistema de Gestão TFD da GLOBAL BRAIN, será promovido: a Diminuição 
de Mão de Obra, Relatórios Gerenciais e Financeiros, e Comodidade do Usuário.
g) Envio do faturamento ao SIA/SUS",Startup,Saúde,Nenhuma,"Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,0,1,0,1,0,0,"M2 Saude, M4 Transformacao Digital"
Liens,Monitoramento e assistencia eletronica na terceira idade,Startup,Cidades inteligentes,IOT (Internet das Coisas),"Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,0,1,1,1,0,0,"M2 Saude, M3 Infra Mobilidade, M4 Transformacao Digital"
GEESUL,"Somos apaixonados em ajudar os municípios e empresas a entender melhor suas realidades e ter bases para decisões assertivas. Nós transformamos a ciência em negócios.
Através de estudos socioeconômicos nós oferecemos uma maneira de melhorar e desenvolver as cidades e empresas de Minas Gerais, através da gestão inteligente de dados e as melhores práticas econômicas e sociais.",Startup,"Gestão de negócios, Governo",Big Data,"Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,0,0,1,0,1,0,"M3 Infra Mobilidade, M5 Bioeconomia Energia"
Inovação Saúde Interligada IsiCare,"A Isicare é uma plataforma que conecta profissionais da saúde a oportunidades de atendimentos em empresas de saúde, principalmente em homecare. O objetivo é solucionar as dores das empresas quanto à contratação dos profissionais e gestão destes atendimentos e proporcionar ao profissional mais independência e lucratividade.",Startup,Saúde,Nenhuma,"Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,0,1,0,0,0,0,M2 Saude
PRONTUEI HEALTH SOFTWARE INOVA SIMPLES LTDA,Somos um app que simplifica a organização e gestão da vida médica dos Brasileiros,Startup,Saúde,Big Data,"Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,0,1,0,1,0,0,"M2 Saude, M4 Transformacao Digital"
Rotulus,Somos uma empresa voltada para a atuação em psicologia criminal ,Startup,Direito,API,"Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,0,0,0,0,0,0,
M3 Lending,https://m3lending.com.br/,Startup,Finanças,Nenhuma,"Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
4MTI SOLUCOES LTDA,"A 4mti desenvolve soluções em tecnologia, coleta e análise de dados de bases governamentais e não governamentais. Somos uma empresa especializada na criação de algoritmos para extração de dados e visualizações interativas em interface web que facilitam as análises dos dados e produção de conhecimento.
O que torna a 4MTI Soluções única é sua abordagem personalizada, que garante que cada cliente tenha uma solução adaptada às suas necessidades específicas de negócios. A empresa tem um forte foco em resultados e busca entender as necessidades e desafios de seus clientes para fornecer soluções que realmente tragam benefícios e resultados.
Com uma equipe dedicada ao suporte técnico, treinamento e capacitação de equipes, gestão de projetos e serviços gerenciados, a 4MTI Soluções garante que seus clientes tenham todo o suporte necessário para implementar e utilizar suas soluções.",Startup,"Construção, Direito, Energia, Finanças, Gestão de negócios, Gestão de riscos, Governo, Imóveis, Indústria 4.0, Logística, Mineração, Regulamentação e compliance, Saúde, Seguros, Tecnologia da informação, Turismo, Vendas","Big Data, Machine Learning","Escala (Nesta fase a startup possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)",Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
Saúde Agora Tecnologia ltda,"Transformar positivamente a relação do profissional de saúde com a
gestão do seu consultório/clínica. Entregando tecnologia por
automatização de processos. Através de um software que otimiza e
acelera a jornada do paciente e do profissional de saúde. 
Crescendo a base de clientes ativos.",Startup,Saúde,"Big Data, Machine Learning","Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,0,1,0,0,0,0,M2 Saude
CONTROL FLUX MATERIAIS ELETRICOS LTDA,"Startup de base tecnológica que promove sustentabilidade através de eficiência hídrica e energética, atuando com hardwares de fabricação própria e plataforma IoT de monitoramento e gestão de água e energia.",Startup,"Cidades inteligentes, Construção, Energia, Gestão de resíduos, Indústria 4.0, Sustentabilidade","IOT (Internet das Coisas), Machine Learning","Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,0,0,1,0,1,0,"M3 Infra Mobilidade, M5 Bioeconomia Energia"
H3aven,Governança Soberana para corporações e governos. Visibilidade e eficiência em processos e contratos. ,Startup,"Aeroespacial, Agronegócio, Cidades inteligentes, Construção, Educação, Energia, Gestão de negócios, Gestão de riscos, Governo, Indústria 4.0, Logística, Mineração, Reciclagem, Regulamentação e compliance, Saúde, Segurança, Tecnologia da informação","Big Data, Blockchain, Deep Learning, Machine Learning","Escala (Nesta fase a startup possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)",Executores Diretos das Missões,0,0,1,1,1,0,"M3 Infra Mobilidade, M4 Transformacao Digital, M5 Bioeconomia Energia"
beGREEN2TRAVEL,"Ajudamos os viajantes a criar suas viagens sustentáveis de uma forma fácil, rápida e divertida, e que consigam ao final da sua viagem saber o quanto ela gerou de legado positivo aos destinos, suas comunidades, meio-ambiente, economia e cultura locais. Utilizamos um sistema de gamificação que gera pontos por cada experiência de turismo sustentável adquirida, esses pontos podem ser trocados por descontos ou experiências de viagem. Também oferecemos a possibilidade que os viajantes zerem a pegada de carbono de sua viagem através de reflorestamento e até mesmo participando do plantio dessas árvores. ",Startup,"Tecnologia da informação, Turismo","Deep Learning, Machine Learning","Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,0,0,0,0,1,0,M5 Bioeconomia Energia
FINTAX SAFE LTDA,IDTECH,Startup,"Educação, Finanças, Gestão de negócios, Segurança","Big Data, Deep Learning, Machine Learning","Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,0,0,0,1,0,1,"M4 Transformacao Digital, M6 Defesa Soberania"
Valor Crucial Treinamento,"A Valor Crucial Treinamentos é uma empresa voltada a educação online de profissionais com foco em segurança do trabalho. O objetivo dos cursos são os atendimentos das Normas Regulamentadoras em Segurança do trabalho assim como demandas de certificação em qualidade. Como diferencial a Valor Crucial utiliza novas tecnologias como vídeos em animação, simuladores de realidade virtual e criação de conteúdo em mundos virtuais.",Startup,Educação,Vídeo em animação - Realidade Virtual,"Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
Gamefic,"Através da diversão, aumentamos o engajamento das pessoas, melhorando os resultados da sua companhia, por meio de relatórios de engajamento, acompanhamento de rankings, cruzamento de métricas, gerenciamento dos jogos, criação de indicadores, etc.
Somos uma empresa com 6 anos de experiência, que tem um produto testado e aprovado pelo mercado e que busca escalar para o mercado nacional e internacional.",Startup,Jogos,Machine Learning,"Escala (Nesta fase a startup possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)",Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
"THOD - EVENTOS DE ESPORTES DE AVENTURA, TURISMO, LAZER E CULTURAIS LTDA ","Plataforma de turismos, cultura e esportes de aventura",Startup,"Cidades inteligentes, Entretenimento, Esporte, Negócios sociais, Rede social, Sustentabilidade, Tecnologia da informação, Turismo",Nenhuma,"Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,0,0,1,1,1,0,"M3 Infra Mobilidade, M4 Transformacao Digital, M5 Bioeconomia Energia"
Tech Fleet Locadora Digital S/A.,"A UseCar Carsharing oferece soluções de mobilidade urbana inovadoras e personalizadas, tecnológicas e sustentáveis que geram eficiência para empresas e impactam positivamente a vida das pessoas e a sociedade. Por meio da tecnologia, nosso propósito é viabilizar a mobilidade como indústria, permitindo que pessoas, bens e negócios se movimentem de maneira cada vez mais eficazes e sustentáveis.",Startup,"Cidades inteligentes, Mobilidade","IOT (Internet das Coisas), Machine Learning","Escala (Nesta fase a startup possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)",Executores Diretos das Missões,0,0,1,0,1,0,"M3 Infra Mobilidade, M5 Bioeconomia Energia"
XGO SOLUCOES,Consultoria e desenvolvimento tecnologico,Média e Grande Empresa,"Educação, Tecnologia da Informação e Comunicação (TIC)",,,Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
MAFER Telecom,"MAFER TELECOM é uma empresa do segmento de redes de telecomunicações, fundada em 2010, que atua como um elo entre grandes players do mercado de redes de telecomunicações e os provedores de Internet. A empresa acompanha seus clientes no caminho da transformação digital, em busca de viabilizar as necessidades do mercado ISP por meio de parcerias tecnológicas e integração de soluções inovadoras em Redes de Telecomunicações.

A MAFER TELECOM está situada no Arranjo Produtivo Local (APL) de Eletroeletrônicos de Santa Rita do Sapucaí, sul de Minas Gerais, cidade conhecida como O Vale da Eletrônica. Atualmente conta com 9 colaboradores, a sua maioria com formação superior. A empresa mantém fortes laços com o Instituto Nacional de Telecomunicações (INATEL), escola onde a colaboradora e coordenadora deste projeto cursa o Doutorado em Redes de Telecomunicações, com ênfase em Inteligência Artificial e Internet das Coisas.

Como marco relevante, podemos destacar a participação no projeto de crescimento da infraestrutura de telecomunicações via fibra ótica na cidade de Guarulhos realizado em 2022 em parceria com a empresa TechFibers e a implantação da rede digital da BRF Foods em parceria com a multinacional Cirion Technologies. Atualmente, a empresa trabalha na análise de viabilidade técnica e implantação de mais de 5.000 pontos em todo o território nacional da rede digital do Banco Bradesco, mais uma parceria com a Cirion Technologies.",Empresa de Base Tecnológica (EBT),Telecomunicações,"Deep Learning, IOT (Internet das Coisas), Visão Computacional",Ideação (Fase de concepção da ideia até consolidação do Mínimo Produto Viável - MVP para um nicho de mercado específico),Executores Diretos das Missões,0,0,1,1,0,0,"M3 Infra Mobilidade, M4 Transformacao Digital"
Organic Soluções Pesquisa Desenvolvimento e Inovação LTDA,"Empresa: A “ORGANIC Soluções” é uma entidade que tem em seu DNA a
criação de soluções de base tecnológica de alta inovação e alto valor aos seus clientes e à
comunidade. Sua missão é viabilizar projetos tecnológicos originários de ideias inovadoras.
Entre seus serviços, está o suporte à inovação, ao desenvolvimento de software e hardware,
ao empreendedorismo, à pesquisa científica e tecnológica no ambiente produtivo e à
integração entre empresas e centros de pesquisa públicas ou privadas. A empresa também
tem o foco em gerenciar, profissionalmente, o processo de transferência de conhecimentos e
tecnologias, por meio de contratos, licenças e outras formas de comercialização, além de fazer
suporte de gestão e administrativo para realização de projetos de PD&I utilizando leis
pertinentes e vigentes no país. A Organic também dá suporte para a validação da solução e
Modelagem do Negócio, construção e validação do MVP/PROTÓTIPO. Por estar inserida no
Vale da Eletrônica, um Arranjo Produtivo Local de empreendedorismo tecnológico, localizado
no sul de Minas Gerais, a Organic Soluções possui network com diversas outras empresas de
tecnologia e centros de pesquisas e universidades de ponta como o Instituto Nacional de
Telecomunicações (INATEL) e a Universidade Federal de Itajubá (UNIFEI). Além disso, a
empresa é uma startup incubada na Incubadora de Empresas de Base Tecnológica (INCIT) da
UNIFEI.

Fundada em 2015, a Organic Soluções é uma empresa que tem em seu DNA a criação de
soluções inovativas de base tecnológica, valorizando o trabalho transparente, ético e
comprometido, prezando pela iniciativa e empreendedorismo, a inovação, o conhecimento e a
responsabilidade social.
O alto valor e impacto gerados pela Organic Soluções é reflexo do emprenho com que executa
a sua missão de gerar soluções em Tecnologia da Informação e promover a produtividade,
contribuindo assim para o desenvolvimento em nível local, regional e nacional.
Atualmente, a empresa conta com 45 colaboradores e presta serviços de excelência
relacionados ao suporte à inovação, pesquisas científicas, desenvolvimento tecnológico no

ambiente produtivo e integração entre empresas e centros de pesquisa públicas ou privadas. A
Organic Soluções tem a expertise para gerenciar o processo de transferência de
conhecimentos e tecnologias, por meio de contratos, licenças e outras formas de
comercialização, além de fazer suporte de gestão administrativa para realização de projetos de
PD&I, além do suporte prestados à empresas para o desenvolvimento de tecnologias e
soluções.
A empresa é uma startup incubada na Incubadora de Empresas de Base Tecnológica (INCIT),
vinculada à Universidade Federal de Itajubá (UNIFEI) e está inserida no Vale da Eletrônica, um
Arranjo Produtivo Local de empreendedorismo tecnológico localizado no sul de Minas Gerais,
o que proporciona à Organic Soluções um network com empresas de tecnologia, instituições
públicas, centros de pesquisas e universidades, como o Instituto Nacional de
Telecomunicações (INATEL) e UNIFEI.",Startup,Tecnologia da informação,Blockchain,"Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,1,0,0,0,1,0,"M1 Agro, M5 Bioeconomia Energia"
ENERGETICA RESÍDUOS & ENERGIA,"A ENERGÉTICA RESÍDUOS & ENERGIA é uma especialista em automação 4.0 e no desenvolvimento de soluções inovadoras para o aumento da eficiência energética e ambiental industrial nos segmentos de resíduos e de energia. Possui uma estrutura científica e tecnológica de ponta. Nosso foco atual é reduzir desperdício no setor de Óleo & Gás contribuindo para reduzir os custos operacionais, as emissões de Gases de Efeito Estufa e a melhoria na saúde dos funcionários e das comunidades no entrono dos empreendimentos.",Startup,"Agronegócio, Energia, Gestão de resíduos, Indústria 4.0, Sustentabilidade","IOT (Internet das Coisas), Machine Learning","Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,1,0,0,0,1,0,"M1 Agro, M5 Bioeconomia Energia"
BVC Serviços e Soluções LTDA ,"A BVC é uma empresa de pesquisa e desenvolvimento. Ela desenvolve softwares, aplicativos e sistemas de todos os tipos.",Startup,Tecnologia da informação,"Blockchain, Impressão 3D, Realidade aumentada","Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
FORSEE,"Plataforma de soluções de IA e IoT que tem melhorado vendas, estoques, produtividade e lucro de indústrias, distribuidores e varejos de 30 a 300% em até 4 meses com sucesso em TODOS os casos.",Startup,"Alimentos, Automóveis, Finanças, Gestão de negócios, Indústria 4.0, Logística, Moda, Pets, Varejo, Vendas","Big Data, IOT (Internet das Coisas), Machine Learning","Escala (Nesta fase a startup possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)",Executores Diretos das Missões,1,0,0,1,0,0,"M1 Agro, M4 Transformacao Digital"
Educomunicação,Pesquisa sobre estratégias de ensinoaprendizagem.,Startup,Educação,IOT (Internet das Coisas),"Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
GLOBAL BIOTECNOLOGIA S.A.,"Somos uma empresa 100% brasileira de biotecnologia, da paixão pela vida, desenvolvemtos o processoi produtivo que culminou no que é a TCP: produção de ecossistemas vivos. Esses ecossistemas vivos produzem metabólitos que nos abrem novas possibilidades e nos dão uma outra visão de mundo.
  Nossos microbiomas projetados nos proporcionam um mundo onde superamos as dores com soluções eficazes. Um mundo onde produtores rurais tem um menor custo produtivo e um ganho de produção, aumentando sua renda mensal.
  Um mundo onde produção e natureza andam de mãos dadas e sem cobrar um do outro
o preço desse casamento.
Com a TCP nós sabemos que podemos criar valor e fazer a diferença onde estivermos e em tudo que fizermos. E que a cada nova solução para as dores do mundo temos a chance de inspirar as pessoas e levar saúde ao solo, planta, água, ar e, principalmente, às pessoas. Saúde no seu mais amplo entendimento: em corpo, mente e espírito.

Desenvolvemos nossos produtos TCP, Tecnologia do Consórcio Probiótico, á base de microrganismos vivos, onde conseguimos, com base em nossos estudos científicos, na área de atuação da Pecuária, a substituição de Ionóforos e Anticoccidianos em Aves e Suínos.
Já em Agricultura, possuímos um produto com multifuncionalidade, atuando como Biofertilizante, Fixador de Nitrogênio (N), Solubilizador de Fósforo (P), Nematicida, tudo em um só produto.

",Startup,Agronegócio,"Ecossistemas de microrganismos vivos, 100% naturais.","Escala (Nesta fase a startup possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)",Executores Diretos das Missões,1,1,0,0,1,0,"M1 Agro, M2 Saude, M5 Bioeconomia Energia"
EASYJUR TECNOLOGIA E SISTEMAS LTDA,Software Jurídico e Orquestração Ágil de demandas jurídicas para advogados lucrarem 10x mais!,Startup,"Direito, Gestão de negócios, Tecnologia da informação","Big Data, Machine Learning","Escala (Nesta fase a startup possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)",Executores Diretos das Missões,0,0,0,1,0,1,"M4 Transformacao Digital, M6 Defesa Soberania"
MGM Logística SA,"Gerenciar e otimizar o fluxo de mercadorias, informações e recursos entre fornecedores, fabricantes, distribuidores e clientes, buscando alcançar um alto nível de eficiência, confiabilidade e satisfação do cliente. Os principais resultados até o momento incluem o aumento da capacidade de armazenamento, redução de custos operacionais, aumento da velocidade de entrega, melhoria na qualidade do serviço prestado e aumento da receita e lucratividade da empresa.",Média e Grande Empresa,Transporte e Automotivo,,,Executores Diretos das Missões,0,0,0,0,1,0,M5 Bioeconomia Energia
FUNDACAO EDUCACIONAL LUCAS MACHADO FELUMA,"Dentre os principais objetivos da FELUMA está aquele de promover atividades de ensino, pesquisa científica de extensão e assistência nas áreas de su atuação, através de seus Institutos ou de celebração de convênios, contratos, acordos ou outros instrumentos jurídicos com instituições públicas ou privadas, pessoas naturais ou jurídicas, nacionais ou estrangeiras. Para fins de inscrição, diz-se que a FELUMA tem como objetivo funcionar como nucleador de um ecossistema de inovação em saúde que integra os diversos atores essenciais a tal ambiente: empreendedores, startups e empresas nas mais diversas fases de maturidade, investidores e parceiros. A FELUMA, por meio de um de seus núcleos, busca possibilitar a criação a partir do ambiente de ciências da saúde que se estende às outras áreas do conhecimento, conferindo-lhe um caráter fortemente interdisciplinar. 

Seus resultados, na área de inovação, ainda estão em fase incipiente. Conduz-se alguns projetos relacionados a pesquisa de bancada,  eletroeletrônica, inteligência artificial, dentre outros.",Média e Grande Empresa,"Biociências ou ciências da vida, Educação, Tecnologia da Informação e Comunicação (TIC)",,,Executores Diretos das Missões,1,0,0,0,1,0,"M1 Agro, M5 Bioeconomia Energia"
DIRETO DE MINAS MARKETPLACE LTDA,"O Marketplace Direto de Minas é uma empresa inovadora que busca fortalecer a economia local de Minas Gerais através da oferta de uma plataforma online robusta para compra e venda de produtos e serviços 100% mineiros em diversas categorias. Como o maior Shopping virtual de Produtos de Minas Gerais do país, a empresa tem como objetivo ser uma referência no mercado mineiro, fornecendo aos consumidores produtos autênticos e de qualidade e aos produtores locais, uma vitrine para promover seus negócios. Nossas parcerias estratégicas, como a APROCAN e o HUB MPE do governo estadual, demonstraram o compromisso da empresa em fortalecer o ecossistema empreendedor local e gerar impacto positivo na economia regional. Com um protótipo já em operação, estamos validando nosso modelo de negócios e gerando vendas tanto no varejo quanto no atacado. Nossos principais resultados até o momento incluem a conquista de parceiros estratégicos, o crescimento de nossa base de clientes e a consolidação da nossa marca como referência no mercado mineiro. Nós acreditamos no potencial de nossa empresa e estamos em busca de investidores que compartilhem de nossa visão e queiram fazer parte do nosso crescimento.",Startup,"Varejo, Vendas",Machine Learning,"Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
SolarView,A SolarView é um energytech que atua no mercado de geração distribuída de energia e gestão de energia com soluções para o monitoramento de usinas solares e gestão do pós-venda solar. Atualmente são mais de 200 mil Usinas monitoradas em tempo real através das nossas soluções de SaaS e equipamentos IoT.,Startup,Energia,"Big Data, IOT (Internet das Coisas), Machine Learning","Escala (Nesta fase a startup possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)",Executores Diretos das Missões,1,0,1,0,1,0,"M1 Agro, M3 Infra Mobilidade, M5 Bioeconomia Energia"
